source_e(MeV)	NPS	det_pulse (MeVee)	det_cell	corr_count	PSD	time(s)  cells_history	
3.02371	12820	0.0139427	1	no	0.0446927	5.57119e-09	4	1
2.21581	12861	0.266236	1	no	0.437244	6.84523e-09	4	1
2.23776	12897	0.256753	1	no	0.341752	8.37179e-09	4	1
2.90687	12953	0.446167	1	no	0.392502	5.39847e-09	4	1
2.4754	12989	0.00699083	1	no	0.0891365	6.33393e-09	4	1
2.33361	12998	0.513155	1	no	0.361073	1.09939e-08	4	1
2.24605	13001	0.224797	1	no	0.328049	6.74221e-09	4	1
2.95857	13020	0.46601	1	no	0.336091	9.45067e-09	4	1
2.18774	13056	0.47413	1	no	0.389272	6.37376e-09	4	1
2.53751	13071	0.465874	1	no	0.375731	6.50092e-09	4	1
2.40683	13089	0.0762176	1	no	0.307358	8.49661e-09	4	1
1.44514	13103	0.0966838	1	no	0.255388	8.06789e-09	4	1
2.60876	13161	0.637529	1	no	0.372644	6.91099e-09	4	1
2.68022	13188	0.286683	1	no	0.359258	5.65031e-09	4	1
2.7217	13190	0.0775028	1	no	0.425126	5.86071e-09	4	1
2.12366	13218	0.17703	1	no	0.416676	7.72424e-09	4	1
2.38742	13238	0.361245	1	no	0.401596	5.91354e-09	4	1
2.30825	13292	0.218429	1	no	0.360703	6.94013e-09	4	1
2.34395	13330	0.136896	1	no	0.371408	6.55634e-09	4	1
2.14632	13370	0.0158511	1	no	0.31941	2.10778e-08	4	1
2.93641	13415	0.341538	1	no	0.400593	6.03592e-09	4	1
1.9284	13416	0.372189	1	no	0.364202	9.0265e-09	4	1
2.23181	13418	0.060386	1	no	0.293776	6.7764e-09	4	1
