source_e (MeV)	NPS	det_pulse (MeVee)	det_cell	corr_count	PSD	time (s)	cells_history
2.69122	7656	0.382007	1	no	0.401314	8.65411e-09	4	1
2.4502	7661	0.542548	1	no	0.369331	8.07454e-09	4	1
2.87631	7728	0.494851	1	no	0.367703	5.77476e-09	4	1
2.19856	7731	0.211915	1	no	0.254452	1.11625e-08	4	1
2.8579	7794	0.259009	1	no	0.397522	8.89247e-09	4	1
2.64344	7825	0.301629	1	no	0.421321	5.90942e-09	4	1
1.47879	7856	0.0844625	1	no	0.374712	1.1175e-08	4	1
2.94862	7866	0.627438	1	no	0.40586	1.0942e-08	4	1
2.8181	7904	0.485864	1	no	0.365176	7.92697e-09	4	1
2.27958	7927	0.325867	1	no	0.380313	6.67217e-09	4	1
2.68459	7929	0.012683	1	no	0	1.10079e-08	4	1
2.99825	7949	0.474951	1	no	0.38827	6.08626e-09	4	1
2.75606	7964	0.480709	1	no	0.367757	7.26771e-09	4	1
2.55897	7978	0.0609834	1	no	0.216906	6.16735e-09	4	1
2.61965	7993	0.324583	1	no	0.375824	6.70639e-09	4	1
3.16422	8023	0.700599	1	no	0.346041	4.98926e-09	4	1
2.65076	8034	0.496601	1	no	0.377766	6.19504e-09	4	1
2.79528	8095	0.0679474	1	no	0.326081	6.94927e-09	4	1
2.58005	8186	0.22203	1	no	0.334326	7.76015e-09	4	1
2.89449	8197	0.449507	1	no	0.399039	5.41055e-09	4	1
1.95252	8209	0.248719	1	no	0.388003	7.97787e-09	4	1
2.30105	8225	0.448301	1	no	0.377462	6.49614e-09	4	1
2.30689	8241	0.306784	1	no	0.366559	7.26066e-09	4	1
2.6335	8272	0.253815	1	no	0.410254	6.98447e-09	4	1
2.62961	8288	0.171104	1	no	0.371191	6.66099e-09	4	1
3.11767	8290	0.626077	1	no	0.353581	8.80063e-09	4	1
2.42104	8316	0.0818948	1	no	0.363183	9.78252e-09	4	1
2.06336	8394	0.270447	1	no	0.394663	7.19065e-09	4	1
