exp_num,start_time,stop_time,elapsed_s
0222,2022-07-30 17:33:25.471979,2022-07-30 17:34:13.500726,48.03
0223,2022-07-30 17:34:41.739341,2022-07-30 17:35:29.622080,47.88
0224,2022-07-30 17:35:57.853694,2022-07-30 17:36:46.067452,48.21
0225,2022-07-30 17:37:14.219062,2022-07-30 17:38:01.169748,46.95
0226,2022-07-30 17:38:29.332359,2022-07-30 17:39:17.259100,47.93
0227,2022-07-30 17:39:45.546718,2022-07-30 17:40:33.549463,48.00
0228,2022-07-30 17:41:01.671072,2022-07-30 17:41:48.985778,47.31
0229,2022-07-30 17:42:17.336400,2022-07-30 17:43:04.635105,47.30
0230,2022-07-30 17:43:32.920723,2022-07-30 17:44:21.943527,49.02
0231,2022-07-30 17:44:50.140140,2022-07-30 17:45:37.881870,47.74
0232,2022-07-30 17:46:06.159488,2022-07-30 17:46:54.013225,47.85
0233,2022-07-30 17:47:22.219838,2022-07-30 17:48:10.433596,48.21
0234,2022-07-30 17:48:38.626208,2022-07-30 17:49:27.009976,48.38
0235,2022-07-30 17:49:55.381598,2022-07-30 17:50:43.232335,47.85
0236,2022-07-30 17:51:11.493952,2022-07-30 17:51:58.675650,47.18
0237,2022-07-30 17:52:26.955268,
